seed,target,method,setting,family,eer,auc,acc,n,minutes,trainable_params,crop,batch
0,asvspoof2019,source,transductive,ssl_aasist_wavefake,0.4658914728682191,0.999770607235142,89.49820788530467,5580,0.6411150733629862,0,64600,16
0,asvspoof2019,ours,transductive,ssl_aasist_wavefake,0.4658914728682191,0.9997712532299742,99.53405017921146,5580,8.86412839492162,16706,64600,16
0,arabic,source,transductive,ssl_aasist_wavefake,22.386770428015563,0.8578844357976654,59.26391382405745,5570,0.639417314529419,0,64600,16
0,arabic,ours,transductive,ssl_aasist_wavefake,22.659079118028536,0.858572438391699,77.36086175942549,5570,8.858281592528025,16706,64600,16
0,dataset2,source,transductive,ssl_aasist_wavefake,33.97761404556845,0.7340157712325368,66.876545986058,4447,0.6499333381652832,0,64600,16
0,dataset2,ours,transductive,ssl_aasist_wavefake,32.92170926388907,0.7446613329577314,67.9784124128626,4447,7.354224975903829,16706,64600,16
0,in_the_wild,source,transductive,ssl_aasist_wavefake,4.566666666666666,0.9862182222222222,80.88333333333333,6000,0.6854013482729594,0,64600,16
0,in_the_wild,ours,transductive,ssl_aasist_wavefake,4.316666666666666,0.9876774444444444,95.33333333333334,6000,9.563441149393718,16706,64600,16
0,arabic,source,transductive,deepfense_w2v2_aasist_s42,32.15869001297017,0.7343448119325551,53.85996409335727,5570,0.6049652377764384,0,64000,16
0,arabic,ours,transductive,deepfense_w2v2_aasist_s42,28.98028534370947,0.7676854085603112,71.0951526032316,5570,8.52855855623881,16706,64000,16
0,dataset2,source,transductive,deepfense_w2v2_aasist_s42,42.91316513005823,0.5854804972354,46.12098043624916,4447,0.589276913801829,0,64000,16
0,dataset2,ours,transductive,deepfense_w2v2_aasist_s42,42.703012222037394,0.5884138752524081,56.06026534742523,4447,6.955188401540121,16706,64000,16
0,in_the_wild,source,transductive,deepfense_w2v2_aasist_s42,14.499999999999998,0.930743277777778,51.13333333333333,6000,0.6194188237190247,0,64000,16
0,in_the_wild,ours,transductive,deepfense_w2v2_aasist_s42,12.133333333333333,0.9470529999999999,88.23333333333333,6000,8.990821528434754,16706,64000,16
0,arabic,source,transductive,deepfense_w2v2_aasist_s2,25.768287937743196,0.8144600518806744,58.92280071813285,5570,0.5886704126993815,0,64000,16
0,arabic,ours,transductive,deepfense_w2v2_aasist_s2,26.84079118028534,0.8021372243839169,72.11849192100539,5570,8.345582969983418,16706,64000,16
0,dataset2,source,transductive,deepfense_w2v2_aasist_s2,34.496616547287594,0.7169323604920224,66.33685630762312,4447,0.5654320240020752,0,64000,16
0,dataset2,ours,transductive,deepfense_w2v2_aasist_s2,34.719559347731675,0.7058837754952947,65.19001574094897,4447,6.76858826080958,16706,64000,16
0,in_the_wild,source,transductive,deepfense_w2v2_aasist_s2,8.599999999999998,0.973828388888889,90.05,6000,0.6165497461954753,0,64000,16
0,in_the_wild,ours,transductive,deepfense_w2v2_aasist_s2,8.149999999999999,0.9738651666666667,88.3,6000,8.964439074198404,16706,64000,16
0,arabic,source,transductive,deepfense_w2v2_aasist_s240,24.573476005188066,0.8236747730220493,58.9048473967684,5570,0.5986026247342427,0,64000,16
0,arabic,ours,transductive,deepfense_w2v2_aasist_s240,22.99805447470817,0.838978728923476,78.13285457809694,5570,8.384928182760875,16706,64000,16
0,dataset2,source,transductive,deepfense_w2v2_aasist_s240,27.455042111530293,0.7855595436274968,72.40836519001574,4447,0.5709461053212483,0,64000,16
0,dataset2,ours,transductive,deepfense_w2v2_aasist_s240,24.938256389583362,0.803399318654908,74.63458511355971,4447,6.780482876300812,16706,64000,16
0,in_the_wild,source,transductive,deepfense_w2v2_aasist_s240,6.766666666666666,0.980823611111111,75.58333333333334,6000,0.620078158378601,0,64000,16
0,in_the_wild,ours,transductive,deepfense_w2v2_aasist_s240,6.6999999999999975,0.9817469444444444,91.73333333333333,6000,8.973964885870616,16706,64000,16
0,asvspoof2021df,source,transductive,ssl_aasist_wavefake,3.316666666666664,0.9937529444444444,70.3,6000,2.0753557960192364,0,64600,16
0,asvspoof2021df,ours,transductive,ssl_aasist_wavefake,3.3000000000000016,0.9939938888888888,91.7,6000,10.876151458422344,16706,64600,16
0,asvspoof2021df,source,transductive,deepfense_w2v2_aasist_s42,4.983333333333332,0.9912886666666667,80.46666666666667,6000,2.0161051670710246,0,64000,16
0,asvspoof2021df,ours,transductive,deepfense_w2v2_aasist_s42,3.5999999999999996,0.9947841666666667,86.48333333333333,6000,10.35098365942637,16706,64000,16
0,asvspoof2021df,source,transductive,deepfense_w2v2_aasist_s2,4.616666666666667,0.9916910555555556,88.53333333333333,6000,2.0199114282925925,0,64000,16
0,asvspoof2021df,ours,transductive,deepfense_w2v2_aasist_s2,4.783333333333334,0.9917545000000001,85.36666666666667,6000,10.356696339448293,16706,64000,16
0,asvspoof2021df,source,transductive,deepfense_w2v2_aasist_s240,4.716666666666669,0.9920422777777779,86.96666666666667,6000,2.0219471573829653,0,64000,16
0,asvspoof2021df,ours,transductive,deepfense_w2v2_aasist_s240,4.599999999999999,0.9922993888888888,81.88333333333333,6000,10.33370570341746,16706,64000,16
0,asvspoof2019,source,transductive,ssl_aasist_wavefake,0.4658914728682191,0.999770607235142,89.49820788530467,5580,0.6435441811879475,0,64600,16
0,asvspoof2019,tent,transductive,ssl_aasist_wavefake,0.34108527131782773,0.9998121447028423,99.6415770609319,5580,3.950586175918579,16706,64600,16
0,arabic,source,transductive,ssl_aasist_wavefake,22.386770428015563,0.8578844357976654,59.26391382405745,5570,0.602731990814209,0,64600,16
0,arabic,tent,transductive,ssl_aasist_wavefake,22.789623865110244,0.8563980544747083,53.85996409335727,5570,3.9145583311716714,16706,64600,16
0,dataset2,source,transductive,ssl_aasist_wavefake,33.97761404556845,0.7340157712325368,66.876545986058,4447,0.5818041364351908,0,64600,16
0,dataset2,tent,transductive,ssl_aasist_wavefake,33.690752138765475,0.7265619150192597,66.8990330559928,4447,3.2277658224105834,16706,64600,16
0,in_the_wild,source,transductive,ssl_aasist_wavefake,4.566666666666666,0.9862182222222222,80.88333333333333,6000,0.6387588699658712,0,64600,16
0,in_the_wild,tent,transductive,ssl_aasist_wavefake,4.200000000000002,0.9881853333333334,95.75,6000,4.209383046627044,16706,64600,16
0,arabic,source,transductive,deepfense_w2v2_aasist_s42,32.15869001297017,0.7343448119325551,53.85996409335727,5570,0.5849041104316711,0,64000,16
0,arabic,tent,transductive,deepfense_w2v2_aasist_s42,52.323411154345,0.48043320363164727,53.85996409335727,5570,3.7237341960271197,16706,64000,16
0,dataset2,source,transductive,deepfense_w2v2_aasist_s42,42.91316513005823,0.5854804972354,46.12098043624916,4447,0.5660143256187439,0,64000,16
0,dataset2,tent,transductive,deepfense_w2v2_aasist_s42,60.881253943718804,0.40208082645370696,48.86440296829323,4447,3.0826860626538592,16706,64000,16
0,in_the_wild,source,transductive,deepfense_w2v2_aasist_s42,14.499999999999998,0.930743277777778,51.13333333333333,6000,0.6196954329808553,0,64000,16
0,in_the_wild,tent,transductive,deepfense_w2v2_aasist_s42,37.06666666666667,0.6634042777777778,50.0,6000,4.002138610680898,16706,64000,16
0,arabic,source,transductive,deepfense_w2v2_aasist_s2,25.768287937743196,0.8144600518806744,58.92280071813285,5570,0.5839580217997233,0,64000,16
0,arabic,tent,transductive,deepfense_w2v2_aasist_s2,29.86543450064851,0.7189297665369649,53.85996409335727,5570,3.73233806292216,16706,64000,16
0,dataset2,source,transductive,deepfense_w2v2_aasist_s2,34.496616547287594,0.7169323604920224,66.33685630762312,4447,0.5651320775349935,0,64000,16
0,dataset2,tent,transductive,deepfense_w2v2_aasist_s2,32.24777097673899,0.7100859229829914,57.1846188441646,4447,3.0730690479278566,16706,64000,16
0,in_the_wild,source,transductive,deepfense_w2v2_aasist_s2,8.599999999999998,0.973828388888889,90.05,6000,0.6172290086746216,0,64000,16
0,in_the_wild,tent,transductive,deepfense_w2v2_aasist_s2,9.233333333333334,0.9672573333333333,90.58333333333334,6000,3.9928579409917195,16706,64000,16
0,arabic,source,transductive,deepfense_w2v2_aasist_s240,24.573476005188066,0.8236747730220493,58.9048473967684,5570,0.58388884862264,0,64000,16
0,arabic,tent,transductive,deepfense_w2v2_aasist_s240,33.746368352788586,0.7100153047989624,53.85996409335727,5570,3.7372743129730224,16706,64000,16
0,dataset2,source,transductive,deepfense_w2v2_aasist_s240,27.455042111530293,0.7855595436274968,72.40836519001574,4447,0.5673964540163676,0,64000,16
