family,target,seed,n,pos_rate,eer,auc,acc_shipped,acc_otsu,acc_median,acc_oracle,bacc_shipped,bacc_otsu,bacc_median,bacc_oracle,t_otsu,t_median
deepfense_w2v2_aasist_s2,arabic,0,5570,0.5385996409335727,25.768287937743196,0.8144600518806744,58.92280071813285,59.335727109515254,73.84201077199282,74.21903052064633,55.60071335927367,56.0621271076524,73.96822308690012,74.16206225680934,0.595703125,0.9997305274009705
deepfense_w2v2_aasist_s2,asvspoof2021df,0,6000,0.5,4.616666666666667,0.9916910555555556,88.53333333333333,88.55,95.35,95.38333333333333,88.53333333333333,88.55,95.35,95.38333333333333,0.505859375,0.9996140599250793
deepfense_w2v2_aasist_s2,asvspoof2021la,0,6000,0.5,6.100000000000002,0.9829106666666666,92.71666666666667,92.71666666666667,93.89999999999999,94.51666666666667,92.71666666666667,92.71666666666667,93.89999999999999,94.51666666666667,0.490234375,0.998364269733429
deepfense_w2v2_aasist_s2,dataset2,0,4447,0.4886440296829323,34.496616547287594,0.7169323604920224,66.33685630762312,66.33685630762312,65.43737351023162,67.46120980436248,65.81309312620184,65.81513708052897,65.44661818649848,67.17614757916883,0.490234375,0.01678549125790596
deepfense_w2v2_aasist_s2,hf_commercialtts,0,1866,0.5,32.04715969989282,0.7151440167538016,68.0064308681672,68.06002143622723,67.95284030010717,71.11468381564845,68.0064308681672,68.06002143622723,67.95284030010717,71.11468381564845,0.517578125,0.48438020050525665
deepfense_w2v2_aasist_s2,hf_wavefake,0,6000,0.5,20.599999999999994,0.877341,76.43333333333334,76.43333333333334,79.4,79.63333333333334,76.43333333333334,76.43333333333334,79.4,79.63333333333334,0.498046875,0.03126213327050209
deepfense_w2v2_aasist_s2,in_the_wild,0,6000,0.5,8.599999999999998,0.973828388888889,90.05,90.10000000000001,91.4,91.48333333333333,90.05,90.10000000000001,91.4,91.48333333333333,0.509765625,0.9822194576263428
deepfense_w2v2_aasist_s240,arabic,0,5570,0.5385996409335727,24.573476005188066,0.8236747730220493,58.9048473967684,59.60502692998204,75.22441651705566,76.08617594254937,55.48644617380026,56.2591439688716,75.37425421530479,75.50252918287937,0.607421875,0.9993638396263123
deepfense_w2v2_aasist_s240,asvspoof2021df,0,6000,0.5,4.716666666666669,0.9920422777777779,86.96666666666667,86.98333333333333,95.28333333333333,95.51666666666667,86.96666666666667,86.98333333333333,95.28333333333333,95.51666666666667,0.501953125,0.9985895752906799
deepfense_w2v2_aasist_s240,asvspoof2021la,0,6000,0.5,7.799999999999999,0.9766568333333332,89.03333333333333,89.01666666666667,92.2,92.56666666666666,89.03333333333333,89.01666666666667,92.2,92.56666666666666,0.498046875,0.997996598482132
