seed,target,method,setting,family,eer,auc,acc,n,minutes
9,in_the_wild,source,transductive,xlsr,11.9,0.9555,66.63,6000,0.5
9,in_the_wild,tent,transductive,xlsr,31.1,0.6892,66.58,6000,2.7
9,in_the_wild,st_only,transductive,xlsr,11.917,0.9539,87.98,6000,4.7
9,in_the_wild,ours,transductive,xlsr,13.933,0.9385,85.93,6000,6.8
9,in_the_wild,bn_only,transductive,xlsr,11.9,0.9555,66.63,6000,1.0
9,in_the_wild,oracle,transductive,xlsr,4.517,0.9921,94.17,6000,2.7
9,in_the_wild,source,inductive,xlsr,11.4,0.9561,66.2,3000,0
9,in_the_wild,ours,inductive,xlsr,14.633,0.9332,85.1,3000,0
9,in_the_wild,mlaad_heldout_lang_recall,diagnostic,xlsr,,,98.65,2000,0
9,in_the_wild,source,transductive,rawnet2lite,39.35,0.6451,54.35,6000,0
9,arabic,source,transductive,xlsr,22.656,0.8431,68.2,5570,0.5
9,arabic,tent,transductive,xlsr,49.225,0.5078,54.15,5570,2.5
9,arabic,st_only,transductive,xlsr,22.528,0.844,77.38,5570,4.4
9,arabic,ours,transductive,xlsr,21.348,0.8588,78.47,5570,6.4
9,arabic,bn_only,transductive,xlsr,22.656,0.8431,68.2,5570,0.9
9,arabic,oracle,transductive,xlsr,10.233,0.9614,73.82,5570,2.5
9,arabic,source,inductive,xlsr,20.966,0.8566,70.45,2785,0
9,arabic,ours,inductive,xlsr,20.328,0.8666,78.67,2785,0
9,arabic,mlaad_heldout_lang_recall,diagnostic,xlsr,,,92.65,2000,0
9,arabic,source,transductive,rawnet2lite,60.053,0.3778,43.77,5570,0
4,arabic,source,transductive,xlsr,18.78,0.8786,64.81,5570,0.5
4,arabic,tent,transductive,xlsr,49.099,0.509,54.11,5570,2.5
4,arabic,st_only,transductive,xlsr,18.563,0.8784,81.18,5570,4.4
4,arabic,ours,transductive,xlsr,18.097,0.8937,82.28,5570,6.4
4,arabic,bn_only,transductive,xlsr,18.78,0.8786,64.81,5570,0.9
4,arabic,oracle,transductive,xlsr,9.28,0.9703,89.19,5570,2.5
4,arabic,source,inductive,xlsr,19.462,0.8699,64.17,2785,0
4,arabic,ours,inductive,xlsr,19.318,0.8866,79.68,2785,0
4,arabic,mlaad_heldout_lang_recall,diagnostic,xlsr,,,97.7,2000,0
4,arabic,source,transductive,rawnet2lite,52.226,0.457,47.34,5570,0
