ckpt,method,setting,seed,eval_sub,eer,auc,acc,acc_median_rule,n,attainable,deficit,smoke,adapt_min,pi_fake_hat,pi_fake_true,lo_frac,hi_frac,q,conf_tau,skew_target
deepfense_w2v2_aasist_s42,ours_fixed,disjoint_eval,0,0,12.266,0.949,82.24,81.501,11779,87.734,5.495,False,22.7,,,,,,,
deepfense_w2v2_aasist_s42,ours_bbse,official_eval,0,0,14.507,0.9329,47.994,80.094,31779,85.493,37.499,False,22.7,0.9786,0.371,0.0128,0.5872,,,
deepfense_w2v2_aasist_s42,ours_bbse,disjoint_eval,0,0,14.063,0.9349,48.069,80.61,11779,85.937,37.869,False,22.7,0.9786,0.371,0.0128,0.5872,,,
deepfense_w2v2_aasist_s240,source,official_eval,0,0,8.466,0.9694,68.923,85.217,31779,91.534,22.611,False,,,,,,,,
deepfense_w2v2_aasist_s240,source,disjoint_eval,0,0,8.717,0.9681,69.361,85.381,11779,91.283,21.922,False,,,,,,,,
deepfense_w2v2_aasist_s240,ours_fixed,official_eval,0,0,8.333,0.9713,88.801,85.468,31779,91.667,2.866,False,22.7,,,,,,,
deepfense_w2v2_aasist_s240,ours_fixed,disjoint_eval,0,0,8.525,0.9705,89.057,85.712,11779,91.475,2.419,False,22.7,,,,,,,
deepfense_w2v2_aasist_s240,ours_bbse,official_eval,0,0,8.476,0.9707,76.975,85.302,31779,91.524,14.549,False,22.7,0.6784,0.371,0.193,0.407,,,
deepfense_w2v2_aasist_s240,ours_bbse,disjoint_eval,0,0,8.701,0.9699,77.664,85.534,11779,91.299,13.635,False,22.7,0.6784,0.371,0.193,0.407,,,
ssl_aasist_wavefake,ours_gmm,official_eval,0,0,4.61,0.9881,95.371,86.856,31779,95.39,0.018,False,22.9,0.4207,0.371,0.3476,0.2524,0.3,,
ssl_aasist_wavefake,ours_gmm,disjoint_eval,0,0,4.643,0.9887,95.331,87.028,11779,95.357,0.026,False,22.9,0.4207,0.371,0.3476,0.2524,0.3,,
