corpus,ckpt,arm,seed,eval_sub,q,skew,setting,n,prior,eer,legacy_eer,auc,accuracy,balanced_accuracy,fpr,fnr,oracle_accuracy,threshold_gap,threshold,exact_one_pct,near_one_pct,largest_tie_pct,n_unique
df2021,deepfense_w2v2_aasist_s240,tent,0,0,0.3,0,disjoint_eval,380435,0.9722659587,26.08949757,17.67868415,0.8234310449,97.69816132,58.50616754,82.98739456,0.0002703550302,98.93385204,1.235690722,0.5,98.11662965,98.78139498,98.11662965,1830
df2021,deepfense_w2v2_aasist_s2,eta,0,0,0.3,0,available_pool,400435,0.9721902431,12.31104967,7.44401052,0.9288363209,98.93016345,82.70595662,34.47377874,0.1143080255,98.96437624,0.03421279359,0.5,96.64589759,97.70799256,96.64589759,1235
df2021,deepfense_w2v2_aasist_s2,eta,0,0,0.3,0,disjoint_eval,380435,0.9722659587,12.35691225,7.471075386,0.9285438228,98.93201204,82.67485527,34.53701071,0.1132787577,98.9682863,0.03627426499,0.5,96.65961334,97.71682416,96.65961334,1190
df2021,deepfense_w2v2_aasist_s2,ours_bbse,0,0,0.3,0,available_pool,400435,0.9721902431,4.05996385,4.020210939,0.9931421542,98.94764444,82.33985758,35.24604885,0.07423599855,98.97061945,0.02297501467,0.5,0,0.2472311361,26.64252625,1764
df2021,deepfense_w2v2_aasist_s2,ours_bbse,0,0,0.3,0,disjoint_eval,380435,0.9722659587,4.068393427,4.034275133,0.9930890392,98.94962346,82.32021909,35.2857549,0.07380692325,98.97301773,0.02339427235,0.5,0,0.2478741441,26.65948191,1715
df2021,deepfense_w2v2_aasist_s2,ours_bbse,1,50000,0.3,0,available_pool,50000,0.9723,4.313446909,4.346669904,0.9926106879,98.95,83.29157742,33.28519856,0.1316466111,98.954,0.004,0.5,0,0,17.06,600
df2021,deepfense_w2v2_aasist_s2,ours_bbse,1,50000,0.3,0,disjoint_eval,30000,0.9719333333,4.052801531,4.049319955,0.9933169419,98.96,83.6063863,32.66033254,0.1268948488,98.96,0,0.5,0,0,17.06,470
df2021,deepfense_w2v2_aasist_s2,ours_bbse,2,50000,0.3,0,available_pool,50000,0.9723,4.373402913,4.547132465,0.9919314915,98.894,81.15842409,37.61732852,0.06582330556,98.988,0.094,0.5,0,63.47,39.294,606
df2021,deepfense_w2v2_aasist_s2,ours_bbse,2,50000,0.3,0,disjoint_eval,30000,0.9720333333,4.670089943,4.325895457,0.9909369008,98.82,80.06105923,39.80929678,0.06858475361,98.92333333,0.1033333333,0.5,0,63.64666667,39.49666667,463
df2021,deepfense_w2v2_aasist_s2,ours_bbse_nocons,0,0,0.3,0,available_pool,400435,0.9721902431,3.980820764,3.980316031,0.9935099276,98.89994631,86.5765182,26.47270115,0.3742624564,99.00458252,0.1046362081,0.5,0,88.39686841,40.83733939,1980
